name,code
paneer,160
hair dryer,341
pen,510
brinjal,110
potato,110
onion,115
tomato,110
pumpkin,110
cabbage,115
bottle gourd,110
jack fruit,110
bitter gourd,110
apple,120
pineapple,120
apricot,120
gooseberry,120
aronia,120
granadilla,120
grapes,120
grapefruit,120
guanabana,120
orange,120
guava,120
banana,120
coca-cola,130
pepsi,130
mountain dew,130
kissan squash,130
mirinda,130
fanta,130
fruity,130
appy,130
water bottle,130
7up,130
sprite,130
fresca,130
butter,140
bread,140
lays,140
kurkure,140
uncle chips,140
tedhe medhe,140
bingo mad angles,140
fun stix,140
bingo starters,140
too yumm,140
kurkure monster cups,140
lays crisp,140
maggi noodles,150
noodles,150
pasta,150
macroni,150
maggi magic masala,150
mayannaise,150
soya sauce,150
tomato ketchup,150
mustard sauce,150
chilli sauce,150
milk,160
butter,160
ghee,160
mayonnaise,160
dahi,160
lassi,160
advil,213
aspirin,213
paracetamol,213
dispirin,213
digene,213
condom,220
contraceptive pills,220
I know,220
prega news,220
paracetamol,231
aspirin,231
advil,231
dispirin,231
digene,231
cough syrup,231
cetirizine,231
femara,240
odomzo,240
jakafi,240
zytiga,240
hexalen,240
ibrance,240
mutalane,240
sutent,240
revital,253
cod liver oil capsules,253
multivitavin tablets,250
mutivit sport tablet,250
vitamin e capsules,253
nutrilite,253
cough syrup,263
benadryl,263
liv-ro,260
liv-t,260
regliv,260
feeliv-ds,260
tooth brush,310
tooth paste,310
dental floss,310
oral irrigators,310
teeth whiteners,310
mouthwash,310
tongue scrapers,310
dental picks,310
dental sticks,310
shampoo,320
conditioner,320
defrizzer,320
hair gel,320
hair cream,320
comb,320
hair band,320
hair straightner,341
hair dryer,341
curler,341
face wash,330
face mask,330
face pack,330
cream,330
vicco turmeric ayurvedic cream,330
boroline,330
boroplus,330
vaseline body lotion,340
veet body wax,340
body cream,340
body wash,340
gillete razor,350
shaving cream,350
after shave lotion,350
shaving foam,350
shaving brush,350
nail cutter,350
trimmer,350
deoderent,350
soap,360
hand sanitizer,360
shampoo,360
deoderent,360
perfume,360
face wash,360
head massager,410
hair curler,410
hair straightner,410
hair dryer,410
computer,420
mouse,420
RAM,420
external hard drive,420
internal hard drive,420
pen drives,420
keyboard,420
charger,420
hard drive case,420
laptop,430
mouse,430
keyboard,430
charger,430
external hard driver,430
internal hard drive,430
ssd,430
pen drive ,430
usb cable,430
chager,440
case,440
screen guard,440
usb cable,440
power bank,440
mobile,440
switch,450
lamp,450
bulb,450
CFL,450
LED,450
tubelight,450
wire,450
motor,450
cello pen,510
reynolds pen,510
rorito pen,510
apsara pencil,510
natraj pencil,510
copy,520
register,520
paper,520
a4 sheet,520
compass,530
ruler,530
divider,530
set-square,530
sharpener,540
eraser,540
compass,540
divider,540
ruler,540
